Read Name	Start Position	Length
FTUN4580.b1	1	925
FTUN1640.g1	161	711
FTUN675.g1	161	836
FTUN6535.g1	218	850
FTUN9680.b1	291	851
FTUN9949.b1	594	885
FTUN11673.g1	724	851
FTUN7591.b1	949	849
FTUN3071.g1	1288	839
FTUN1526.g1	1963	887
FTUN6025.g1	2345	880
FTUN8744.g1	2638	849
FTUN5019.b1	2662	825
FTUN2696.g1	2702	547
FTUN12029.b1	2923	844
FTUN3919.g1	3273	789
FTUN1041.b1	3446	853
FTUN7389.g1	3740	818
FTUN2182.b1	3757	927
FTUN10431.g1	3993	869
FTUN9785.g1	4204	809
FTUN10063.b1	4448	913
FTUN2171.b1	4528	916
FTUN4814.g1	4631	859
